,rms0,rms1,rms2,rms3,zc0,zc1,zc2,zc3,mav0,mav1,mav2,mav3,var0,var1,var2,var3,wl0,wl1,wl2,wl3,ssc0,ssc1,ssc2,ssc3,contraction,output
0,0.04092193603579997,0.04092193603579997,0.04092193603579997,0.04092193603579997,74.0,74.0,74.0,74.0,0.032016791786955504,0.032016791786955504,0.032016791786955504,0.032016791786955504,0.0016744323670404657,0.0016744323670404657,0.0016744323670404657,0.0016744323670404657,7.325985707385099,7.325985707385099,7.325985707385099,7.325985707385099,99.0,99.0,99.0,99.0,1,5
0,0.024061009079621363,0.024061009079621363,0.024061009079621363,0.024061009079621363,70.0,70.0,70.0,70.0,0.01721165432544789,0.01721165432544789,0.01721165432544789,0.01721165432544789,0.0005788086243440113,0.0005788086243440113,0.0005788086243440113,0.0005788086243440113,3.770043685545936,3.770043685545936,3.770043685545936,3.770043685545936,96.0,96.0,96.0,96.0,1,6
0,0.024053483988720974,0.024053483988720974,0.024053483988720974,0.024053483988720974,63.0,63.0,63.0,63.0,0.017357048582249304,0.017357048582249304,0.017357048582249304,0.017357048582249304,0.0005785560359876443,0.0005785560359876443,0.0005785560359876443,0.0005785560359876443,3.5281378971935777,3.5281378971935777,3.5281378971935777,3.5281378971935777,83.0,83.0,83.0,83.0,1,3
0,0.05718984317357994,0.05718984317357994,0.05718984317357994,0.05718984317357994,67.0,67.0,67.0,67.0,0.04601178561134651,0.04601178561134651,0.04601178561134651,0.04601178561134651,0.0032706755820827867,0.0032706755820827867,0.0032706755820827867,0.0032706755820827867,10.277274110371476,10.277274110371476,10.277274110371476,10.277274110371476,99.0,99.0,99.0,99.0,1,5
0,0.018434828761147295,0.018434828761147295,0.018434828761147295,0.018434828761147295,59.0,59.0,59.0,59.0,0.014070210317834947,0.014070210317834947,0.014070210317834947,0.014070210317834947,0.0003397721920794589,0.0003397721920794589,0.0003397721920794589,0.0003397721920794589,2.8225874475371975,2.8225874475371975,2.8225874475371975,2.8225874475371975,78.0,78.0,78.0,78.0,1,2
0,0.004378808754995834,0.004378808754995834,0.004378808754995834,0.004378808754995834,50.0,50.0,50.0,50.0,0.0035929566780938506,0.0035929566780938506,0.0035929566780938506,0.0035929566780938506,1.9172978172069482e-05,1.9172978172069482e-05,1.9172978172069482e-05,1.9172978172069482e-05,0.6365798637392491,0.6365798637392491,0.6365798637392491,0.6365798637392491,114.0,114.0,114.0,114.0,1,4
0,0.01239161536934018,0.01239161536934018,0.01239161536934018,0.01239161536934018,91.0,91.0,91.0,91.0,0.009789690901544112,0.009789690901544112,0.009789690901544112,0.009789690901544112,0.000153444442704218,0.000153444442704218,0.000153444442704218,0.000153444442704218,2.5131031201601415,2.5131031201601415,2.5131031201601415,2.5131031201601415,122.0,122.0,122.0,122.0,1,1
0,0.004302319739723754,0.004302319739723754,0.004302319739723754,0.004302319739723754,61.0,61.0,61.0,61.0,0.0033729229570011636,0.0033729229570011636,0.0033729229570011636,0.0033729229570011636,1.8509827271998624e-05,1.8509827271998624e-05,1.8509827271998624e-05,1.8509827271998624e-05,0.6346629425192776,0.6346629425192776,0.6346629425192776,0.6346629425192776,102.0,102.0,102.0,102.0,1,4
0,0.005562735206235471,0.005562735206235471,0.005562735206235471,0.005562735206235471,76.0,76.0,76.0,76.0,0.0042759014903038794,0.0042759014903038794,0.0042759014903038794,0.0042759014903038794,3.094075565831674e-05,3.094075565831674e-05,3.094075565831674e-05,3.094075565831674e-05,0.989511436925417,0.989511436925417,0.989511436925417,0.989511436925417,111.0,111.0,111.0,111.0,1,6
0,0.049428184250077306,0.049428184250077306,0.049428184250077306,0.049428184250077306,71.0,71.0,71.0,71.0,0.039854182481629336,0.039854182481629336,0.039854182481629336,0.039854182481629336,0.0024427215274865984,0.0024427215274865984,0.0024427215274865984,0.0024427215274865984,9.10596819806038,9.10596819806038,9.10596819806038,9.10596819806038,104.0,104.0,104.0,104.0,1,5
0,0.013879284595021288,0.013879284595021288,0.013879284595021288,0.013879284595021288,58.0,58.0,58.0,58.0,0.00927948161954239,0.00927948161954239,0.00927948161954239,0.00927948161954239,0.00019263143987458833,0.00019263143987458833,0.00019263143987458833,0.00019263143987458833,1.6898291028064687,1.6898291028064687,1.6898291028064687,1.6898291028064687,82.0,82.0,82.0,82.0,1,3
0,0.02189694744001832,0.02189694744001832,0.02189694744001832,0.02189694744001832,80.0,80.0,80.0,80.0,0.01721937814094968,0.01721937814094968,0.01721937814094968,0.01721937814094968,0.0004793958545076796,0.0004793958545076796,0.0004793958545076796,0.0004793958545076796,4.072303301207755,4.072303301207755,4.072303301207755,4.072303301207755,113.0,113.0,113.0,113.0,1,1
